"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","7.62","1988637120","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","11.1","250571400","n/a","1985","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","17.27","160282870","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ETF","Aberdeen Emerging Markets Telecommunications and Infrastructur","19.47","160569090","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/etf",
"FCO","Aberdeen Global Income Fund, Inc.","14.1242","126990682.2","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","12.84","106212480","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","13.8052","58989619.6","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"AXK","Accelr8 Technology Corporation","2.86","30765020","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axk",
"ACU","Acme United Corporation.","10.6601","33472714","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AE","Adams Resources & Energy, Inc.","60.5","255189000","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","3.57","43561140","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"API","Advanced Photonix, Inc.","0.76","23536440","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ANX","ADVENTRX Pharmaceuticals, Inc.","0.58","27675280","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anx",
"ACY","AeroCentury Corp.","11.0999","17127145.7","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"AIM","Aerosonic Corporation","2.78","10480600","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aim",
"AA^","Alcoa Inc.","85.47","56410200","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXX","Alderon Iron Ore Corp.","3.07","260084260","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx",
"AXU","Alexco Resource Corp","6.36","381205680","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ANV","Allied Nevada Gold Corp","29.16","2614106520","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/anv",
"AAU","Almaden Minerals, Ltd.","2.26","133615720","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","1.5","31630500","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"DIT","AMCON Distributing Company","63.09","38358720","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"APP","American Apparel Inc","0.99","104589540","n/a","1994","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"ADGE","American DG Energy Inc.","2.4","111842400","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge",
"ALN","American Lorain Corporation","1.3532","46696225.6","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","3.2","14755200","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AQQ","American Spectrum Realty, Inc.","5.35","19142300","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aqq",
"ANO","Anooraq Resources Corporation","0.3","60566400","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ano",
"AIS","Antares Pharma, Inc.","3.21","333721230","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ais",
"BRD","Apollo Gold Corporation","0.8583","172963757.7","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/brd",
"AGX","Argan, Inc.","15.03","205279740","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/agx",
"ARR/WS","Armour Residential R","0.0179","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arr/ws",
"HRT","Arrhythmia Research Technology Inc.","3.07","8568370","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
