"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","29.26","1491469980","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","89.36","62081698320","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"SVN","7 Days Group Holdings Limited","13.33","247284830","n/a","2009","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/svn",
"AHC","A.H. Belo Corporation","4.69","91178290","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AIR","AAR Corp.","15.51","624866880","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","27.9","2121264900","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","18.81","3529132200","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","61.99","97470410430","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ANF","Abercrombie & Fitch Company","50.88","4310757120","n/a","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"ABH","AbitibiBowater Inc.","13.29","1290472290","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/abh",
"ABM","ABM Industries Incorporated","23.47","1261066570","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ABVT","Abovenet Inc","83.1","2180793300","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/abvt",
"AKR","Acadia Realty Trust","23.27","995118280","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","65.02","41902204020","n/a","1986","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ABD","Acco Brands Corporation","10.97","609164100","n/a","1987","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/abd",
"ACCO$","Acco Brands Corporation","10.91","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acco$",
"AH","Accretive Health, Inc.","9.33","926385030","n/a","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ah",
"ACW","Accuride Corporation New","7.28","344504160","n/a","2005","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","76.36","25859543080","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","4.25","67417750","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","27.81","1899701100","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","57.45","2432490450","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","11.11","1011832140","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"AGRO","Adecoagro S.A.","8.97","1077018930","n/a","1994","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","79.36","405847040","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"AAP","Advance Auto Parts Inc","92.37","6765271170","n/a","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AMD","Advanced Micro Devices, Inc.","7.33","5125641770","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","5","444630000","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
